-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 05/01/2024 through 05/31/2024 
Location: Latitude  27.7129   Longitude 85.3112 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 776.63 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
WS50M           MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M           MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,WD10M,PRECTOTCORR,RH2M,QV2M,T2M,T2MDEW,T2MWET,WS50M,WD50M
2024,5,5,17,91.58,2.51,242.8,0.0,15.44,5.25,32.76,3.1,17.93,2.89,246.96
2024,5,5,18,91.65,1.12,225.57,0.0,20.06,5.92,30.27,4.84,17.55,1.66,228.64
2024,5,5,19,91.73,0.67,138.31,0.0,20.5,5.55,28.88,3.99,16.44,0.88,141.1
2024,5,5,20,91.79,1.41,86.82,0.0,22.31,5.55,27.36,3.94,15.65,1.98,87.74
2024,5,5,21,91.86,2.12,71.3,0.0,24.69,5.55,25.8,4.03,14.91,3.19,72.19
2024,5,5,22,91.9,2.51,64.31,0.0,27.0,5.68,24.58,4.26,14.43,3.98,65.75
2024,5,5,23,91.9,2.68,60.15,0.0,28.69,5.68,23.68,4.33,14.0,4.4,61.93
2024,5,6,0,91.89,2.77,57.57,0.0,29.81,5.74,23.1,4.37,13.74,4.62,59.4
2024,5,6,1,91.86,2.79,56.31,0.0,30.75,5.74,22.6,4.39,13.49,4.64,58.16
2024,5,6,2,91.85,2.79,55.02,0.0,31.62,5.74,22.11,4.37,13.23,4.63,56.63
2024,5,6,3,91.87,2.83,56.7,0.0,32.06,5.68,21.79,4.29,13.04,4.75,58.37
2024,5,6,4,91.9,2.8,60.43,0.0,32.38,5.62,21.48,4.14,12.81,4.72,62.08
2024,5,6,5,91.96,2.75,63.73,0.0,32.44,5.55,21.26,4.0,12.63,4.64,65.64
2024,5,6,6,92.05,2.49,67.06,0.0,29.75,5.68,23.05,4.3,13.68,4.38,68.79
2024,5,6,7,92.12,3.14,92.99,0.0,22.94,5.62,27.12,4.12,15.62,3.78,95.1
2024,5,6,8,92.18,3.55,128.21,0.0,20.94,5.92,29.64,4.91,17.28,3.85,123.92
2024,5,6,9,92.2,3.35,154.15,0.0,20.06,6.29,31.52,5.87,18.69,3.27,147.18
2024,5,6,10,92.17,3.5,177.18,0.0,19.19,6.59,33.17,6.57,19.87,3.13,172.98
2024,5,6,11,92.13,3.99,191.4,0.0,18.38,6.77,34.44,6.98,20.71,3.59,190.53
2024,5,6,12,92.06,4.44,198.05,0.0,17.81,6.9,35.24,7.22,21.23,4.11,198.3
2024,5,6,13,91.99,4.64,202.37,0.0,17.75,7.02,35.6,7.44,21.52,4.41,203.29
2024,5,6,14,91.91,4.57,206.52,0.0,18.19,7.14,35.47,7.69,21.58,4.45,207.87
2024,5,6,15,91.87,4.29,205.02,0.0,19.19,7.26,34.75,7.88,21.31,4.29,206.84
2024,5,6,16,91.88,3.81,201.3,0.0,20.38,7.26,33.72,7.94,20.83,3.92,203.35
2024,5,6,17,91.93,3.27,195.1,0.0,22.19,7.32,32.35,8.0,20.18,3.52,196.91
2024,5,6,18,92.0,1.98,180.9,0.0,27.12,7.75,29.83,8.82,19.33,3.31,179.86
2024,5,6,19,92.1,2.01,155.63,0.0,31.69,7.87,27.46,9.08,18.27,3.4,155.32
2024,5,6,20,92.18,2.05,133.14,0.0,33.88,8.0,26.58,9.3,17.94,3.64,133.87
2024,5,6,21,92.25,2.08,117.72,0.0,36.25,8.12,25.71,9.54,17.62,3.73,119.36
2024,5,6,22,92.27,2.11,109.44,0.0,38.38,8.24,24.98,9.75,17.36,3.7,111.58
2024,5,6,23,92.27,2.14,104.34,0.0,40.5,8.36,24.28,9.95,17.12,3.69,106.86
2024,5,7,0,92.26,2.18,101.15,0.0,42.56,8.48,23.71,10.21,16.96,3.7,103.92
2024,5,7,1,92.24,2.17,96.82,0.0,44.88,8.67,23.19,10.55,16.87,3.63,99.42
2024,5,7,2,92.24,2.13,86.42,0.0,47.06,8.79,22.68,10.8,16.74,3.52,88.6
2024,5,7,3,92.24,2.16,81.69,0.0,48.44,8.85,22.3,10.93,16.62,3.65,83.97
2024,5,7,4,92.29,2.12,85.34,0.0,49.75,8.97,22.11,11.15,16.63,3.62,88.27
2024,5,7,5,92.36,2.11,99.15,0.0,53.56,9.52,21.85,12.06,16.95,3.87,102.6
2024,5,7,6,92.43,2.37,108.67,0.0,52.81,10.31,23.43,13.31,18.37,4.06,110.25
2024,5,7,7,92.49,4.02,119.61,0.09,50.56,11.23,25.56,14.6,20.08,4.85,119.13
2024,5,7,8,92.53,4.04,131.95,0.1,47.12,11.54,27.24,15.01,21.12,4.48,128.13
2024,5,7,9,92.55,3.83,147.31,0.1,42.25,11.41,28.9,14.79,21.84,3.97,141.71
2024,5,7,10,92.55,3.71,161.22,0.13,38.56,11.17,30.18,14.47,22.32,3.66,156.34
2024,5,7,11,92.5,3.69,172.09,0.18,35.62,10.99,31.21,14.15,22.68,3.57,169.4
2024,5,7,12,92.44,3.83,183.16,0.21,33.69,10.8,31.87,13.86,22.86,3.76,182.98
2024,5,7,13,92.37,3.97,191.69,0.26,32.5,10.56,32.12,13.54,22.83,4.03,193.09
2024,5,7,14,92.31,4.03,199.0,0.26,32.06,10.31,31.98,13.19,22.58,4.27,201.22
2024,5,7,15,92.25,3.91,199.23,0.32,32.69,10.13,31.31,12.9,22.11,4.31,201.92
2024,5,7,16,92.21,3.53,194.99,0.39,33.94,10.07,30.52,12.8,21.66,4.0,197.76
2024,5,7,17,92.22,2.6,187.08,0.54,36.44,10.13,29.41,12.9,21.15,3.02,190.44
2024,5,7,18,92.29,1.28,152.34,0.63,41.94,10.68,27.83,13.69,20.76,1.86,152.79
2024,5,7,19,92.37,1.63,99.1,0.5,46.75,10.74,26.1,13.86,19.98,2.66,98.63
2024,5,7,20,92.45,1.96,87.25,0.41,49.19,10.8,25.33,13.96,19.65,3.67,85.85
2024,5,7,21,92.51,2.02,78.6,0.38,51.69,10.93,24.75,14.2,19.48,3.92,78.51
2024,5,7,22,92.56,2.16,69.01,0.27,54.62,11.11,24.12,14.48,19.3,4.05,70.27
2024,5,7,23,92.55,2.44,60.73,0.14,57.38,11.29,23.54,14.73,19.13,4.2,62.53
2024,5,8,0,92.53,2.47,55.45,0.08,60.56,11.41,22.84,14.92,18.88,4.12,56.91
2024,5,8,1,92.49,2.38,54.9,0.09,63.38,11.54,22.26,15.08,18.67,4.01,56.53
2024,5,8,2,92.46,2.26,58.29,0.1,65.94,11.66,21.77,15.24,18.51,3.85,60.05
2024,5,8,3,92.44,2.13,66.44,0.15,68.12,11.72,21.33,15.31,18.32,3.75,67.71
2024,5,8,4,92.44,1.96,71.93,0.14,69.19,11.72,21.08,15.3,18.19,3.63,72.46
2024,5,8,5,92.47,1.79,71.64,0.11,70.12,11.66,20.8,15.25,18.02,3.42,72.06
2024,5,8,6,92.52,2.29,73.11,0.08,65.44,11.66,21.91,15.25,18.58,3.11,74.39
2024,5,8,7,92.56,2.73,104.23,0.14,58.94,11.78,23.83,15.41,19.62,3.25,105.21
2024,5,8,8,92.59,2.89,129.07,0.15,53.38,11.9,25.62,15.51,20.56,3.24,125.49
2024,5,8,9,92.59,3.34,139.75,0.21,48.31,11.78,27.18,15.36,21.26,3.62,135.26
2024,5,8,10,92.54,4.01,145.72,0.33,44.38,11.66,28.39,15.12,21.76,4.27,141.39
2024,5,8,11,92.49,4.52,149.94,0.46,41.81,11.41,29.13,14.82,21.98,4.8,146.08
2024,5,8,12,92.43,4.9,152.05,0.5,42.31,11.47,28.95,14.85,21.9,5.3,149.17
2024,5,8,13,92.38,5.02,149.65,0.56,44.25,11.66,28.47,15.12,21.8,5.57,147.78
2024,5,8,14,92.31,4.98,144.84,0.57,46.25,11.84,27.92,15.36,21.64,5.64,143.96
2024,5,8,15,92.27,4.83,141.44,0.51,48.44,11.96,27.27,15.51,21.39,5.52,141.56
2024,5,8,16,92.24,4.44,136.93,0.61,51.19,12.02,26.47,15.64,21.05,5.14,138.14
2024,5,8,17,92.26,3.73,127.59,0.9,55.38,12.21,25.43,15.93,20.68,4.42,129.48
2024,5,8,18,92.31,2.9,109.85,1.26,60.81,12.57,24.3,16.36,20.33,3.85,110.42
2024,5,8,19,92.41,2.88,89.38,1.32,65.81,12.82,23.3,16.67,19.99,4.08,91.32
2024,5,8,20,92.5,3.43,79.23,1.23,69.69,13.0,22.66,16.94,19.8,4.44,82.51
2024,5,8,21,92.57,3.74,72.74,0.83,73.06,13.12,22.05,17.08,19.56,4.78,75.6
2024,5,8,22,92.55,3.91,68.45,0.67,75.62,13.12,21.49,17.08,19.28,4.93,70.16
2024,5,8,23,92.53,3.96,65.15,0.82,77.44,13.06,21.03,16.99,19.01,4.93,67.05
2024,5,9,0,92.48,3.8,61.91,1.01,78.75,13.0,20.65,16.88,18.76,4.82,64.43
2024,5,9,1,92.44,3.63,57.2,1.29,81.0,12.94,20.12,16.8,18.47,4.73,59.54
2024,5,9,2,92.41,3.54,54.8,1.65,82.0,12.82,19.72,16.58,18.15,4.7,57.89
2024,5,9,3,92.4,3.42,58.27,2.1,81.56,12.51,19.48,16.27,17.87,4.61,61.35
2024,5,9,4,92.41,3.37,54.91,2.57,83.0,12.45,19.08,16.15,17.61,4.55,57.05
2024,5,9,5,92.45,3.62,50.88,2.97,84.56,12.33,18.61,15.98,17.29,4.76,52.47
2024,5,9,6,92.5,3.82,50.15,3.36,84.56,12.27,18.57,15.92,17.25,4.68,51.85
2024,5,9,7,92.54,3.94,50.88,3.9,81.56,12.15,19.01,15.81,17.4,4.51,52.59
2024,5,9,8,92.57,3.84,54.95,4.35,80.81,12.39,19.48,16.13,17.8,4.34,57.34
2024,5,9,9,92.59,3.62,59.67,4.51,80.5,12.76,19.97,16.55,18.26,4.07,61.22
2024,5,9,10,92.57,3.21,67.24,4.62,80.12,13.06,20.44,16.94,18.69,3.67,68.29
2024,5,9,11,92.52,2.68,83.31,5.18,79.38,13.31,20.88,17.23,19.05,3.12,83.23
2024,5,9,12,92.47,2.4,103.54,5.91,79.19,13.55,21.23,17.53,19.37,2.82,102.49
2024,5,9,13,92.41,2.35,115.63,6.31,79.56,13.85,21.46,17.83,19.65,2.75,113.8
2024,5,9,14,92.36,2.36,111.13,6.08,80.38,14.04,21.54,18.06,19.8,2.76,109.72
2024,5,9,15,92.3,2.43,102.61,5.16,81.81,14.22,21.46,18.26,19.87,2.86,100.85
2024,5,9,16,92.29,2.41,95.21,3.69,84.0,14.47,21.29,18.5,19.9,2.9,93.56
2024,5,9,17,92.32,2.12,89.37,2.08,87.38,14.77,21.0,18.81,19.9,2.76,87.73
2024,5,9,18,92.37,1.46,88.16,0.8,92.12,15.2,20.58,19.24,19.91,2.5,87.49
2024,5,9,19,92.44,1.29,82.7,0.14,92.88,15.01,20.29,19.08,19.69,2.4,82.32
2024,5,9,20,92.5,1.35,75.56,0.02,90.62,14.59,20.2,18.6,19.4,2.41,76.14
2024,5,9,21,92.53,1.37,71.77,0.04,87.75,14.04,20.15,18.06,19.11,2.29,73.36
2024,5,9,22,92.53,1.32,67.69,0.31,84.88,13.55,20.08,17.48,18.79,2.1,69.07
2024,5,9,23,92.52,1.1,54.84,0.69,82.25,13.18,20.14,17.05,18.59,1.84,56.78
2024,5,10,0,92.49,1.01,52.24,0.97,82.81,13.0,19.8,16.82,18.31,1.78,54.99
2024,5,10,1,92.44,1.04,56.07,0.95,84.81,13.0,19.41,16.8,18.11,1.86,59.45
2024,5,10,2,92.39,1.04,64.2,0.48,86.12,12.94,19.09,16.73,17.91,1.88,65.24
2024,5,10,3,92.36,1.14,69.95,0.16,86.94,12.88,18.85,16.62,17.74,2.14,70.64
2024,5,10,4,92.38,1.36,72.92,0.09,86.56,12.63,18.67,16.39,17.53,2.64,73.87
2024,5,10,5,92.42,1.53,74.62,0.07,84.75,12.39,18.65,16.05,17.34,3.06,75.5
2024,5,10,6,92.48,1.8,72.35,0.04,81.56,12.57,19.53,16.32,17.93,3.17,73.4
2024,5,10,7,92.52,2.68,84.81,0.02,71.69,12.15,21.09,15.87,18.48,3.52,86.82
2024,5,10,8,92.57,3.22,102.62,0.01,62.94,11.9,22.93,15.6,19.26,3.91,101.76
2024,5,10,9,92.58,3.51,115.02,0.01,57.25,12.08,24.71,15.8,20.25,4.1,111.92
2024,5,10,10,92.57,3.75,126.61,0.01,53.0,12.33,26.37,16.12,21.25,4.24,122.05
2024,5,10,11,92.5,3.81,137.24,0.02,49.94,12.57,27.72,16.4,22.05,4.2,131.76
2024,5,10,12,92.4,3.59,145.55,0.01,47.69,12.76,28.72,16.57,22.65,3.86,139.51
2024,5,10,13,92.31,3.31,149.8,0.02,46.31,12.82,29.26,16.58,22.91,3.51,143.87
2024,5,10,14,92.22,3.04,149.62,0.03,45.62,12.76,29.4,16.48,22.94,3.25,144.4
2024,5,10,15,92.16,2.63,146.5,0.03,45.88,12.63,29.16,16.34,22.75,2.83,142.4
2024,5,10,16,92.14,2.08,143.09,0.02,47.5,12.57,28.48,16.28,22.37,2.27,140.02
2024,5,10,17,92.13,1.83,135.17,0.0,50.25,12.57,27.52,16.32,21.92,2.13,133.96
2024,5,10,18,92.18,1.31,133.79,0.0,61.31,13.79,25.71,17.83,21.77,2.17,130.76
2024,5,10,19,92.28,1.09,124.15,0.0,65.94,13.61,24.28,17.64,20.96,1.68,123.25
2024,5,10,20,92.38,1.08,96.66,0.0,66.44,13.31,23.82,17.31,20.57,1.65,97.09
2024,5,10,21,92.44,1.4,76.74,0.0,68.75,13.12,23.02,17.08,20.05,2.11,77.82
2024,5,10,22,92.44,1.56,70.66,0.0,70.31,12.94,22.4,16.83,19.62,2.38,71.21
